DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),862.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (memory cycles)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
1450,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1455,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1460,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1465,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1470,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1475,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1480,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1485,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1490,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1495,3,"C73, C74, C75",4094.5,99.96%,1.5,NO,OOM
1500,3,"C74, C75, C76",4094.5,99.96%,1.5,NO,OOM
1505,3,"C75, C76, C77",4094.5,99.96%,1.5,NO,OOM
1510,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1515,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1520,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1525,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1530,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1535,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1540,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1545,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1550,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1555,3,"C76, C77, C78",4094.5,99.96%,1.5,NO,OOM
1560,3,"C77, C78, C79",4094.5,99.96%,1.5,NO,OOM
1565,3,"C78, C79, C80",4094.5,99.96%,1.5,NO,OOM
1570,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1575,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1580,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1585,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1590,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1595,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1600,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1605,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1610,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1615,3,"C79, C80, C81",4094.5,99.96%,1.5,NO,OOM
1620,3,"C80, C81, C82",4094.5,99.96%,1.5,NO,OOM
1625,3,"C81, C82, C83",4094.5,99.96%,1.5,NO,OOM
1630,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1635,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1640,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1645,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1650,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1655,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1660,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1665,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1670,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1675,3,"C82, C83, C84",4094.5,99.96%,1.5,NO,OOM
1680,3,"C83, C84, C85",4094.5,99.96%,1.5,NO,OOM
1685,3,"C84, C85, C86",4094.5,99.96%,1.5,NO,OOM
1690,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1695,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1700,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1705,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1710,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1715,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1720,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1725,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1730,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1735,3,"C85, C86, C87",4094.5,99.96%,1.5,NO,OOM
1740,3,"C86, C87, C88",4094.5,99.96%,1.5,NO,OOM
1745,3,"C87, C88, C89",4094.5,99.96%,1.5,NO,OOM
1750,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1755,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1760,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1765,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1770,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1775,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1780,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1785,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1790,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1795,3,"C88, C89, C90",4094.5,99.96%,1.5,NO,OOM
1800,3,"C89, C90, C91",4094.5,99.96%,1.5,NO,OOM
1805,3,"C90, C91, C92",4094.5,99.96%,1.5,NO,OOM
1810,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1815,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1820,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1825,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1830,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1835,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1840,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1845,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
1850,3,"C91, C92, C93",4094.5,99.96%,1.5,NO,OOM
