CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
121,RUNNING,1773939216.74,0.00,862.0,SUCCESS,Active execution on GPU
122,RUNNING,1773939221.74,0.00,1293.0,SUCCESS,Active execution on GPU
123,RUNNING,1773939226.75,0.00,1939.5,SUCCESS,Active execution on GPU
124,RUNNING,1773939281.76,0.00,862.0,SUCCESS,Active execution on GPU
125,RUNNING,1773939286.77,0.00,1293.0,SUCCESS,Active execution on GPU
126,RUNNING,1773939291.77,0.00,1939.5,SUCCESS,Active execution on GPU
127,RUNNING,1773939346.79,0.00,862.0,SUCCESS,Active execution on GPU
128,RUNNING,1773939351.80,0.00,1293.0,SUCCESS,Active execution on GPU
129,RUNNING,1773939356.80,0.00,1939.5,SUCCESS,Active execution on GPU
130,RUNNING,1773939411.82,0.00,862.0,SUCCESS,Active execution on GPU
131,RUNNING,1773939416.82,0.00,1293.0,SUCCESS,Active execution on GPU
132,RUNNING,1773939421.82,0.00,1939.5,SUCCESS,Active execution on GPU
133,RUNNING,1773939476.84,0.00,862.0,SUCCESS,Active execution on GPU
134,RUNNING,1773939481.84,0.00,1293.0,SUCCESS,Active execution on GPU
135,RUNNING,1773939486.85,0.00,1939.5,SUCCESS,Active execution on GPU
